;periodo;fecham;cod_01;PatEf
451;202012;2020-12-01 00:00:00;23;1.10596E+11
452;202012;2020-12-01 00:00:00;13;9.00158E+11
453;202101;2021-01-01 00:00:00;3;3.12475E+12
454;202101;2021-01-01 00:00:00;18;4.88577E+12
455;202101;2021-01-01 00:00:00;5;3.35029E+11
456;202101;2021-01-01 00:00:00;4;23687030260
457;202101;2021-01-01 00:00:00;21;2.13301E+11
458;202101;2021-01-01 00:00:00;23;1.11547E+11
459;202101;2021-01-01 00:00:00;15;5.04674E+12
460;202101;2021-01-01 00:00:00;8;3.22907E+12
461;202101;2021-01-01 00:00:00;13;9.07684E+11
462;202101;2021-01-01 00:00:00;24;5.17898E+12
463;202101;2021-01-01 00:00:00;17;8.41095E+11
464;202101;2021-01-01 00:00:00;14;2.81407E+11
465;202101;2021-01-01 00:00:00;11;27213943640
466;202101;2021-01-01 00:00:00;16;1.21947E+11
467;202101;2021-01-01 00:00:00;19;3.06346E+12
468;202101;2021-01-01 00:00:00;6;8.55209E+11
469;202101;2021-01-01 00:00:00;10;9.32253E+11
470;202101;2021-01-01 00:00:00;20;3.47411E+11
471;202102;2021-02-01 00:00:00;5;3.38899E+11
472;202102;2021-02-01 00:00:00;18;4.95677E+12
473;202102;2021-02-01 00:00:00;20;3.53002E+11
474;202102;2021-02-01 00:00:00;4;23645843209
475;202102;2021-02-01 00:00:00;17;8.54441E+11
476;202102;2021-02-01 00:00:00;16;1.22239E+11
477;202102;2021-02-01 00:00:00;21;2.16891E+11
478;202102;2021-02-01 00:00:00;13;9.11182E+11
479;202102;2021-02-01 00:00:00;19;3.03603E+12
480;202102;2021-02-01 00:00:00;23;1.09296E+11
481;202102;2021-02-01 00:00:00;3;3.12812E+12
482;202102;2021-02-01 00:00:00;6;8.56019E+11
483;202102;2021-02-01 00:00:00;15;5.0999E+12
484;202102;2021-02-01 00:00:00;14;2.81261E+11
485;202102;2021-02-01 00:00:00;8;3.28319E+12
486;202102;2021-02-01 00:00:00;11;26929566042
487;202102;2021-02-01 00:00:00;10;9.36509E+11
488;202102;2021-02-01 00:00:00;24;5.16267E+12
489;202103;2021-03-01 00:00:00;18;5.01119E+12
490;202103;2021-03-01 00:00:00;11;26627602813
491;202103;2021-03-01 00:00:00;24;5.16825E+12
492;202103;2021-03-01 00:00:00;19;2.98415E+12
493;202103;2021-03-01 00:00:00;15;5.13263E+12
494;202103;2021-03-01 00:00:00;3;3.13747E+12
495;202103;2021-03-01 00:00:00;16;1.22188E+11
496;202103;2021-03-01 00:00:00;10;9.39691E+11
497;202103;2021-03-01 00:00:00;6;8.4848E+11
498;202103;2021-03-01 00:00:00;21;2.2004E+11
499;202103;2021-03-01 00:00:00;23;1.06669E+11
500;202103;2021-03-01 00:00:00;20;3.56888E+11
501;202103;2021-03-01 00:00:00;4;23609446063
502;202103;2021-03-01 00:00:00;8;3.28016E+12
