Columna1;fecham;cod_01;cod_02;tot_deuda;periodo
301;01-08-2021 0:00;3;10;9343959352;202108
302;01-08-2021 0:00;24;6;675164;202108
303;01-09-2021 0:00;10;18;253363232;202109
304;01-09-2021 0:00;10;19;334051628;202109
305;01-09-2021 0:00;10;3;483336002;202109
306;01-09-2021 0:00;10;24;65266323;202109
307;01-09-2021 0:00;18;23;20000000000;202109
308;01-10-2021 0:00;10;18;254832457;202110
309;01-10-2021 0:00;3;15;30004583333;202110
310;01-10-2021 0:00;18;15;150023000000;202110
311;01-10-2021 0:00;10;19;335988756;202110
312;01-11-2021 0:00;10;18;260052897;202111
313;01-11-2021 0:00;10;15;50000000000;202111
314;01-11-2021 0:00;3;15;50000000000;202111
315;01-11-2021 0:00;10;19;718831479;202111
316;01-11-2021 0:00;10;3;115105843;202111
317;01-11-2021 0:00;10;13;40000000000;202111
318;01-11-2021 0:00;10;23;20000000000;202111
319;01-12-2021 0:00;10;18;266414330;202112
320;01-12-2021 0:00;18;15;160018000000;202112
321;01-12-2021 0:00;10;19;736415589;202112
322;01-12-2021 0:00;10;3;117921572;202112
323;01-01-2022 0:00;10;18;250284111;202201
324;01-01-2022 0:00;10;19;532364195;202201
325;01-02-2022 0:00;10;19;529405322;202202
326;01-03-2022 0:00;10;19;143003448;202203
327;01-04-2022 0:00;18;8;100019000000;202204
328;01-04-2022 0:00;18;23;20003888889;202204
329;01-05-2022 0:00;18;8;50000000000;202205
330;01-07-2022 0:00;18;15;150081000000;202207
331;01-07-2022 0:00;3;15;50027083333;202207
332;01-07-2022 0:00;3;8;50027083333;202207
333;01-07-2022 0:00;3;24;40021666667;202207
334;01-07-2022 0:00;18;24;160087000000;202207
335;01-07-2022 0:00;23;13;13547879373;202207
336;01-07-2022 0:00;3;13;60032500000;202207
337;01-07-2022 0:00;18;21;4064;202207
338;01-07-2022 0:00;18;23;30016250000;202207
339;01-08-2022 0:00;18;19;102;202208
340;01-08-2022 0:00;23;13;13506404273;202208
